"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66731","CU_CXT-156_Add Address Individual Control ""TC Kimlik numaranızı giriniz""","","Mon Aug 25 09:52:36 TRT 2025","passed","Mon Aug 25 09:53:43 TRT 2025","","CU_CXT-156_Add Address Individual Control <data>","",""
"","23262","PD-60_CXT-198_Search Best Matches PDP ""tablet""","","Mon Aug 25 09:24:59 TRT 2025","passed","Mon Aug 25 09:25:22 TRT 2025","","PD-60_CXT-198_Search Best Matches PDP <data>","",""
"","31922","PD-44_CXT-2295_Search Box Brands ""buzdo""","","Mon Aug 25 09:27:39 TRT 2025","passed","Mon Aug 25 09:28:11 TRT 2025","","PD-44_CXT-2295_Search Box Brands <data>","",""
"","67216","CU_CXT-156_Add Address Corporate Control ""Lütfen VKN/TCKN giriniz.""","","Mon Aug 25 09:53:43 TRT 2025","passed","Mon Aug 25 09:54:50 TRT 2025","","CU_CXT-156_Add Address Corporate Control <data>","",""
"","22947","PD-42_CXT-2293_Search Box Popular Categories","","Mon Aug 25 09:27:59 TRT 2025","passed","Mon Aug 25 09:28:22 TRT 2025","","PD-42_CXT-2293_Search Box Popular Categories","",""
"","47988","CU_CXT-152_Add Address Individual","","Mon Aug 25 09:46:14 TRT 2025","passed","Mon Aug 25 09:47:02 TRT 2025","","CU_CXT-152_Add Address Individual","",""
"","52316","CU_CXT-148_Account Update User Name Surname Control ""Soyad Max Karakter Kontrol""","","Mon Aug 25 09:40:11 TRT 2025","passed","Mon Aug 25 09:41:03 TRT 2025","","CU_CXT-148_Account Update User Name Surname Control <data>","",""
"","18365","CU_CXT-252_Landing Page Links 6.LinkKontrol","","Mon Aug 25 09:59:58 TRT 2025","passed","Mon Aug 25 10:00:16 TRT 2025","","CU_CXT-252_Landing Page Links <data>","",""
"","48349","PD-34_CXT_2298_Add List","","Mon Aug 25 09:46:06 TRT 2025","passed","Mon Aug 25 09:46:55 TRT 2025","","PD-34_CXT_2298_Add List","",""
"","28165","PD-5_CXT-173_Product Listing Page Remove Compare List","","Mon Aug 25 09:30:04 TRT 2025","passed","Mon Aug 25 09:30:32 TRT 2025","","PD-5_CXT-173_Product Listing Page Remove Compare List","",""
"","45685","CU_CXT-150_Account Update Password Control ""Hatalı Yeni Şifre Tekrarı""","","Mon Aug 25 09:44:40 TRT 2025","passed","Mon Aug 25 09:45:26 TRT 2025","","CU_CXT-150_Account Update Password Control <data>","",""
"","23793","PD-40_CXT_2291_Product Search Popular Searches","","Mon Aug 25 09:56:29 TRT 2025","passed","Mon Aug 25 09:56:53 TRT 2025","","PD-40_CXT_2291_Product Search Popular Searches","",""
"","55396","CU_CXT-148_Account Update User Name Surname Control ""Soyad Özel Karakter Kontrol""","","Mon Aug 25 09:39:15 TRT 2025","passed","Mon Aug 25 09:40:11 TRT 2025","","CU_CXT-148_Account Update User Name Surname Control <data>","",""
"","18023","CU_CXT-252_Landing Page Links 16.LinkKontrol","","Mon Aug 25 10:01:15 TRT 2025","passed","Mon Aug 25 10:01:33 TRT 2025","","CU_CXT-252_Landing Page Links <data>","",""
"","59199","CU_CXT-139_Login With Mail","","Mon Aug 25 09:35:58 TRT 2025","passed","Mon Aug 25 09:36:57 TRT 2025","","CU_CXT-139_Login With Mail","",""
"","108523","CU_CXT-151_Account Update Phone Number","","Mon Aug 25 09:41:03 TRT 2025","failed","Mon Aug 25 09:42:51 TRT 2025","","CU_CXT-151_Account Update Phone Number","",""
"","44353","PD-17_CXT-2289_Product Compare Operations","","Mon Aug 25 10:03:44 TRT 2025","passed","Mon Aug 25 10:04:28 TRT 2025","","PD-17_CXT-2289_Product Compare Operations","",""
"","37770","CH-21 Basket Mini Cart Operation Delete","","Mon Aug 25 10:02:01 TRT 2025","passed","Mon Aug 25 10:02:39 TRT 2025","","CH-21 Basket Mini Cart Operation Delete","",""
"","27941","PD-60_CXT-198_Search Best Matches PDP ""iphone 13""","","Mon Aug 25 09:24:08 TRT 2025","passed","Mon Aug 25 09:24:36 TRT 2025","","PD-60_CXT-198_Search Best Matches PDP <data>","",""
"","18687","CU_CXT-252_Landing Page Links 4.LinkKontrol","","Mon Aug 25 09:59:41 TRT 2025","passed","Mon Aug 25 10:00:00 TRT 2025","","CU_CXT-252_Landing Page Links <data>","",""
"","55687","CU_CXT-156_Add Address Individual Control ""Eksik Telefon Numarası""","","Mon Aug 25 09:50:35 TRT 2025","passed","Mon Aug 25 09:51:31 TRT 2025","","CU_CXT-156_Add Address Individual Control <data>","",""
"","21298","CU_CXT-253_Landing Page Brands ""Preo""","","Mon Aug 25 09:57:54 TRT 2025","passed","Mon Aug 25 09:58:15 TRT 2025","","CU_CXT-253_Landing Page Brands <data>","",""
"","23287","CU_CXT-142_Register Fields Control ""Soyad Boş Kontrol""","","Mon Aug 25 09:21:30 TRT 2025","passed","Mon Aug 25 09:21:54 TRT 2025","","CU_CXT-142_Register Fields Control <data>","",""
"","25878","PD-44_CXT-2295_Search Box Brands ""tostmakinesi""","","Mon Aug 25 09:27:17 TRT 2025","passed","Mon Aug 25 09:27:43 TRT 2025","","PD-44_CXT-2295_Search Box Brands <data>","",""
"","27932","CU_CXT-141_Mail Login Password Field Control ""Şifre Boş Kontrol""","","Mon Aug 25 09:35:46 TRT 2025","passed","Mon Aug 25 09:36:14 TRT 2025","","CU_CXT-141_Mail Login Password Field Control <data>","",""
"","33335","PD-57_CXT-106_Product Listing Page Brand Facet Control","","Mon Aug 25 09:29:04 TRT 2025","passed","Mon Aug 25 09:29:37 TRT 2025","","PD-57_CXT-106_Product Listing Page Brand Facet Control","",""
"","54338","PD-43_CXT-2294_Product Search With Product Code","","Mon Aug 25 09:56:32 TRT 2025","passed","Mon Aug 25 09:57:26 TRT 2025","","PD-43_CXT-2294_Product Search With Product Code","",""
"","65604","CU_CXT-156_Add Address Individual Control ""Telefon numaranızı giriniz.""","","Mon Aug 25 09:49:32 TRT 2025","passed","Mon Aug 25 09:50:37 TRT 2025","","CU_CXT-156_Add Address Individual Control <data>","",""
"","34419","CH-20 Basket Remove Product","","Mon Aug 25 09:33:04 TRT 2025","passed","Mon Aug 25 09:33:39 TRT 2025","","CH-20 Basket Remove Product","",""
"","20653","PD-60_CXT-198_Search Best Matches PDP ""ipho""","","Mon Aug 25 09:24:36 TRT 2025","passed","Mon Aug 25 09:24:56 TRT 2025","","PD-60_CXT-198_Search Best Matches PDP <data>","",""
